--------------------------------------
Items Info:
Item | Pocket | Buy | Sell | Description
Antidote               | Medicine   | $10   | $5    | Cures a Pokemon of Poison.
Awakening              | Medicine   | $10   | $5    | Cures a Pokemon of Sleep.
Burn Heal              | Medicine   | $10   | $5    | Cures a Pokemon of Burn.
Paralyze Heal          | Medicine   | $10   | $5    | Cures a Pokemon of Paralysis.
Freeze Heal            | Medicine   | $10   | $5    | Cures a Pokemon of Frostbite.
Full Heal              | Medicine   | $100  | $50   | Cures a Pokemon of any status condition.
Kleine Bar             | Medicine   | $40   | $20   | Cures a Pokemon of any status condition.
Revive                 | Medicine   | $500  | $250  | Recovers a Pokemon from fainting with 50% HP.
Max Revive             | Medicine   | $1000 | $500  | Recovers a Pokemon from fainting with full HP.
Rare Candy             | Medicine   | --    | --    | Elevates a Pokemon by 1 level.
Elixir                 | Medicine   | $200  | $100  | Restores PP of a selected move.
Max Elixir             | Medicine   | $250  | $200  | Restores PP of all moves on a Pokemon.
PP Up                  | Medicine   | $2500 | $1000 | Increases max PP of a selected move by 20%.
PP Max                 | Medicine   | --    | $1500 | Increases max PP of a selected move by its max PP, which is 160%.
Rusty Bottle Cap       | Other      | $300  | $150  | Lowers an IV of choosing to 0.
Bottle Cap             | Other      | $1000 | $500  | Maxes out an IV of choosing.
Gold Bottle Cap        | Other      | --    | $1000 | Maxes out all IVs of a Pokemon.
Euphorian Gem          | Other      | $500  | $250  | Grants a Pokemon 100 friendship points.
Leaf Stone             | Other      | $1000 | $500  | Evolves a certain species of Pokemon.
Fire Stone             | Other      | $1000 | $500  | Evolves a certain species of Pokemon.
Water Stone            | Other      | $1000 | $500  | Evolves a certain species of Pokemon.
Dusk Stone             | Other      | $1000 | $500  | Evolves a certain species of Pokemon.
Dawn Stone             | Other      | $1000 | $500  | Evolves a certain species of Pokemon.
Ice Stone              | Other      | $1000 | $500  | Evolves a certain species of Pokemon.
Valiant Gem            | Other      | $2000 | $500  | Grants Masculine energy to a Pokemon, evolving them into their male evolution.
Petticoat Gem          | Other      | $2000 | $500  | Grants Feminine energy to a Pokemon, evolving them into their female evolution.
Razor Claw             | Other      | $1000 | $500  | Evolves a certain species of Pokemon.
Ability Capsule        | Other      | $2500 | $1250 | Swaps a Pokemon's ability with its other possible ability.
Ability Patch          | Other      | $3000 | $1500 | A patch that can be used to change the regular Ability of a Pokemon to a rarer Ability.
Lonely Mint            | Medicine   | $500  | $150  | Changes a Pokemon's nature to +Atk, -Def
Adamant Mint           | Medicine   | $2500 | $1000 | Changes a Pokemon's nature to +Atk, -SpA
Naughty Mint           | Medicine   | $500  | $150  | Changes a Pokemon's nature to +Atk, -SpD
Brave Mint             | Medicine   | $1000 | $250  | Changes a Pokemon's nature to +Atk, -Spe
Bold Mint              | Medicine   | $1750 | $750  | Changes a Pokemon's nature to +Def, -Atk
Impish Mint            | Medicine   | $1750 | $750  | Changes a Pokemon's nature to +Def, -SpA
Lax Mint               | Medicine   | $750  | $200  | Changes a Pokemon's nature to +Def, -SpD
Relaxed Mint           | Medicine   | $1000 | $250  | Changes a Pokemon's nature to +Def, -Spe
Modest Mint            | Medicine   | $2250 | $1000 | Changes a Pokemon's nature to +SpA, -Atk
Mild Mint              | Medicine   | $500  | $150  | Changes a Pokemon's nature to +SpA, -Def
Rash Mint              | Medicine   | $500  | $150  | Changes a Pokemon's nature to +SpA, -SpD
Quiet Mint             | Medicine   | $1000 | $250  | Changes a Pokemon's nature to +SpA, -Spe
Calm Mint              | Medicine   | $1500 | $500  | Changes a Pokemon's nature to +SpD, -Atk
Gentle Mint            | Medicine   | $750  | $200  | Changes a Pokemon's nature to +SpD, -Def
Careful Mint           | Medicine   | $1250 | $500  | Changes a Pokemon's nature to +SpD, -SpA
Sassy Mint             | Medicine   | $1000 | $250  | Changes a Pokemon's nature to +SpD, -Spe
Timid Mint             | Medicine   | $2500 | $1250 | Changes a Pokemon's nature to +Spe, -Atk
Hasty Mint             | Medicine   | $2000 | $900  | Changes a Pokemon's nature to +Spe, -Def
Jolly Mint             | Medicine   | $2500 | $1250 | Changes a Pokemon's nature to +Spe, -SpA
Naive Mint             | Medicine   | $2000 | $900  | Changes a Pokemon's nature to +Spe, -SpD
Serious Mint           | Medicine   | $1250 | $300  | Changes a Pokemon's nature to Neutral
Thunder Scales Fossil  | Other      | $5000 | $1000 | A fossil of an ancient Pokemon that lived in a desert. It appears to have an electric charge ridden in the scales.
Dusk Scales Fossil     | Other      | $5000 | $1000 | A fossil of an ancient Pokemon that lived in a forest. It appears to give off a dark energy within the scales.
Choice Band            | Held Items | --    | --    | A curious headband that boosts the holder's Attack stat but only allows the use of a single move.
Choice Scarf           | Held Items | --    | --    | A curious scarf that boosts the holder's Speed stat but only allows the use of a single move.
Choice Specs           | Held Items | --    | --    | A pair of curious glasses that boost the holder's Sp. Atk stat but only allow the use of a single move.
Leftovers              | Held Items | --    | --    | An item that restores the user's HP gradually throughout a battle.
Black Sludge           | Held Items | --    | --    | If the holder is a Poison type, this sludge will gradually restore its HP. It damages any other type.
Eviolite               | Held Items | --    | --    | A mysterious evolutionary lump that boosts the Defense and Sp. Def stats when held by a Pokemon that can still evolve.
Everstone              | Held Items | $100  | --    | A Pokemon holding this peculiar stone is prevented from evolving; can't be stolen or removed.
Destiny Knot           | Held Items | --    | --    | An item that controls the destiny of the species of 2 Pokemon breeding.
Exp Share              | Held Items | --    | --    | The holder gets a share of a battle's Exp. Points without battling.
Lucky Egg              | Held Items | --    | --    | An egg filled with happiness that earns the holder extra Exp. Points.
Damp Rock              | Held Items | $750  | --    | A rock that when the holder changes the weather to rain, the rain will persist for longer than usual.
Heat Rock              | Held Items | $750  | --    | A rock that when the holder changes the weather to harsh sunlight, the sunlight will persist for longer than usual.
Smooth Rock            | Held Items | $600  | --    | A rock that when the holder changes the weather to a sandstorm, the storm will persist for longer than usual.
Icy Rock               | Held Items | $600  | --    | A rock that when the holder changes the weather to snow, the snow will persist for longer than usual.
Assault Vest           | Held Items | --    | --    | An offensive vest boosts the holder's Sp. Def stat but prevents the use of status moves.
Bright Powder          | Held Items | --    | --    | A glittery powder that casts a tricky glare which lowers the accuracy of opposing Pokemon's moves.
Expert Belt            | Held Items | --    | --    | A well-worn belt that slightly boosts the power of the holder's supereffective moves.
Metronome              | Held Items | --    | --    | Boosts the power of a move that's used repeatedly. Once the chain is broken, the move's power returns to normal.
Terrain Extender       | Held Items | --    | --    | A held item that extends the duration of terrain caused by the holder's move or Ability.
Ability Shield         | Held Items | --    | --    | This cute and rather unique-looking shield protects the holder from having its Ability changed by others.
Life Orb               | Held Items | --    | --    | An orb that boosts the power of the holder's moves, but at the cost of some HP.
Flame Orb              | Held Items | --    | --    | A bizarre orb that gives off heat when touched and will afflict the holder with a burn during battle.
Toxic Orb              | Held Items | --    | --    | A bizarre orb that exudes toxins when touched and will badly poison the holder during battle.
Rocky Helmet           | Held Items | --    | --    | If another Pokemon makes direct contact with the holder, that Pokemon will be damaged.
Protective Pads        | Held Items | --    | --    | These pads protect the holder from effects triggered by making direct contact with another Pokemon.
Punching Glove         | Held Items | --    | --    | This protective glove boosts the power of the holder's punching moves and prevents direct contact with targets.
Light Clay             | Held Items | --    | --    | An item that when the holder uses protective moves like Light Screen or Reflect, their effects will last longer than usual.
Shell Bell             | Held Items | --    | --    | The holder restores 25% of the damage dealt with an attack back to itself.
Soothe Bell            | Held Items | --    | --    | The comforting chime of this bell calms the holder, making it friendly.
Loaded Dice            | Held Items | --    | --    | This loaded dice always rolls a good number, and holding one can ensure that the holder's multistrike moves hit more times.
Scope Lens             | Held Items | --    | --    | A lens for scoping out weak points. It boosts the holder's critical-hit ratio.
Wide Lens              | Held Items | --    | --    | A magnifying lens that slightly boosts the accuracy of the holder's moves.
Zoom Lens              | Held Items | --    | --    | When the holder acts after its target, its move will be more accurate than usual.
Quick Claw             | Held Items | --    | --    | This light, sharp claw lets the holder move first occasionally.
Big Root               | Held Items | --    | --    | This root boosts the amount of HP the holder restores to itself when it uses HP-stealing moves.
Clear Amulet           | Held Items | --    | --    | This clear, sparkling amulet protects the holder from having its stats lowered by moves used against it or by other Pokemon's Abilities.
Covert Cloak           | Held Items | --    | --    | This hooded cloak conceals the holder, tricking the eyes of its enemies and protecting it from the additional effects of moves.
Safety Goggles         | Held Items | --    | --    | These goggles protect the holder from both weather-related damage and powder.
Heavy-Duty Boots       | Held Items | --    | --    | These boots protect the holder from the effects of entry hazards set on the battlefield.
Focus Band             | Held Items | --    | --    | When the holder is hit with a move that should knock it out, it may be able to endure with 1 HP.
King's Rock            | Held Items | --    | $200  | It may cause the target to flinch whenever the holder successfully inflicts damage on them with an attack.
Shed Shell             | Held Items | --    | $200  | Hard and sturdy, this discarded carapace enables the holder to switch out of battle without fail.
Muscle Band            | Held Items | --    | $150  | This headband exudes strength, slightly boosting the power of the holder's physical moves.
Wise Glasses           | Held Items | --    | $150  | This thick pair of glasses slightly boosts the power of the holder's special moves.
Black Belt             | Held Items | --    | --    | A belt that helps with focus and boosts the power of the holder's Fighting-type moves.
Black Glasses          | Held Items | --    | --    | A pair of shady- looking glasses that boost the power of the holder's Dark-type moves.
Charcoal               | Held Items | --    | --    | A combustible fuel that boosts the power of the holder's Fire-type moves.
Cosmic Core            | Held Items | --    | --    | A mysterious core from the heart of the cosmos that boosts the power of Galactic-type moves.
Dragon Fang            | Held Items | --    | --    | This hard, sharp fang boosts the power of the holder's Dragon-type moves.
Enchanted Amulet       | Held Items | --    | --    | An ancient amulet with mystical properties that boosts the power of Magic-type moves.
Glowing Prism          | Held Items | --    | --    | A radiant prism that boosts the power of Light-type moves.
Hard Stone             | Held Items | --    | --    | A durable stone that boosts the power of the holder's Rock-type moves.
Magnet                 | Held Items | --    | --    | A powerful magnet that boosts the power of the holder's Electric-type moves.
Metal Coat             | Held Items | --    | --    | A special metallic coating that boosts the power of the holder's Steel-type moves.
Miracle Seed           | Held Items | --    | --    | A seed imbued with life-force that boosts the power of the holder's Grass-type moves.
Mystic Water           | Held Items | --    | --    | A teardrop-shaped gem boosts the power of the holder's Water-type moves.
Never-Melt Ice         | Held Items | --    | --    | A heat-repelling piece of ice that boosts the power of the holder's Ice- type moves.
Poison Barb            | Held Items | --    | --    | A small poisonous barb boosts the power of the holder's Poison-type moves.
Sharp Beak             | Held Items | --    | --    | A long, sharp beak that boosts the power of the holder's Flying-type moves.
Silk Scarf             | Held Items | --    | --    | A sumptuous scarf that boosts the power of the holder's Normal-type moves.
Silver Powder          | Held Items | --    | --    | A pile of shiny silver powder that boosts the power of the holder's Bug-type moves.
Soft Sand              | Held Items | --    | --    | A loose, silky sand that boosts the power of the holder's Ground-type moves.
Spell Tag              | Held Items | --    | --    | A sinister, eerie tag that boosts the power of the holder's Ghost-type moves.
Twisted Spoon          | Held Items | --    | --    | This spoon is imbued with telekinetic energy and boosts the power of the holder's Psychic-type moves.
Cleanse Tag            | Held Items | --    | --    | Helps keep wild Pokemon away when the holder is the head of the party.
Amulet Coin            | Held Items | --    | --    | This coin doubles any prize money received as long as the holder joins the battle at least once.
Float Stone            | Held Items | --    | --    | This very light stone reduces the weight of the holder.
Iron Ball              | Held Items | --    | --    | A ball of steel that lowers Speed and allows GROUND moves to hit FLYING and levitating holders.
Lagging Tail           | Held Items | --    | --    | A tremendously heavy item that makes the holder move slower than usual.
Binding Band           | Held Items | --    | --    | This band boosts the damage of the binding effect caused by binding moves used by the holder.
Grip Claw              | Held Items | --    | --    | When the holder uses moves that deal damage over several turns, such as Bind or Wrap, their effects will last longer than usual.
Ring Target            | Held Items | --    | --    | When held, moves that would normally have no effect due to abilities or type matchups will still hit the holder.
Sticky Barb            | Held Items | --    | --    | A clingy barb damages the holder every turn and will latch on to Pokemon that make direct contact with the holder.
Utility Umbrella       | Held Items | --    | --    | This sturdy umbrella protects the holder from the effects of all weather.
Focus Sash             | Held Items | --    | $400  | If the holder has full HP and it is hit with a move that should knock it out, it will endure with 1 HP, but only once.
Air Balloon            | Held Items | --    | $300  | This balloon makes the holder float in the air. If the holder is hit with an attack, the balloon will burst.
Eject Button           | Held Items | --    | $500  | If the holder is damaged by an attack, it will be switched out of battle to be replaced by another Pokemon of your choosing on your team.
Eject Pack             | Held Items | --    | $500  | If the holder's stats are lowered, it will be switched out of battle to be replaced by another Pokemon of your choosing on your team.
Power Herb             | Held Items | --    | $50   | A herb that allows the holder to immediately use a move that normally requires a turn to charge or recharge, but only once.
White Herb             | Held Items | --    | $50   | A herb that will restore any lowered stat in battle, but only once.
Mental Herb            | Held Items | --    | $50   | An item to be held by a Pokemon. The holder shakes off move-binding effects, flinching, and possession to move freely. It can be used only once.
Mirror Herb            | Held Items | --    | $50   | This herb will allow the holder to mirror an opponent's stat increases to boost its own stats - but only once.
Electric Seed          | Held Items | $2    | $250  | If the terrain becomes Electric Terrain, the holder will use this seed to boost its own Defense stat.
Grassy Seed            | Held Items | $2    | $250  | If the terrain becomes Grassy Terrain, the holder will use this seed to boost its own Defense stat.
Psychic Seed           | Held Items | $2    | $250  | If the terrain becomes Psychic Terrain, the holder will use this seed to boost its own Sp. Def stat.
Sparkly Seed           | Held Items | $2    | $250  | If the terrain becomes Sparkly Terrain, the holder will use this seed to boost its own Sp. Def stat.
Weakness Policy        | Held Items | --    | $400  | If the holder is hit with a move it's weak to, this policy sharply boosts its Attack and Sp. Atk stats.
Blunder Policy         | Held Items | --    | $400  | If the holder misses with a move due to low accuracy, this policy will sharply boost its Speed stat.
Room Service           | Held Items | --    | $100  | If Trick Room takes effect, this item will lower the holder's Speed stat.
Red Card               | Held Items | --    | $250  | If the holder is damaged by an attack, the mysterious power of this card can remove the attacker from the battle.
Throat Spray           | Held Items | --    | $150  | If the holder uses a sound-based move, this throat spray will boost its Sp. Atk stat.
Adrenaline Orb         | Held Items | $1    | $75   | This orb will boost the Speed of the Pokemon by 1 stage when it is intimidated, threatened or terrified.
Absorb Bulb            | Held Items | $3    | $320  | This single-use bulb will absorb any Water-type attack and boost the Sp. Atk stat of the holder. Any other attack will damage the item.
Cell Battery           | Held Items | $3    | $275  | This single-use battery will absorb any Electric-type attack and boost the Attack stat of the holder. Any other attack will damage the item.
Luminous Moss          | Held Items | $3    | $335  | This single-use moss will absorb any Water-type attack and boost the Sp. Def stat of the holder. Any other attack will damage the item.
Snowball               | Held Items | $3    | $300  | This single-use ball of snow will absorb any Ice-type attack and boost the Attack stat of the holder. Any other attack will damage the item.
Damaged Bulb           | Held Items | $1    | $25   | This single-use bulb boosts the Sp. Atk stat if the holder is damaged by a Water-type attack.
Damaged Battery        | Held Items | $1    | $30   | This single-use battery boosts the Attack stat if the holder is damaged by an Electric-type attack.
Damaged Moss           | Held Items | $1    | $25   | This single-use moss boosts the Sp. Def stat if the holder is damaged by a Water-type move.
Damaged Snowball       | Held Items | $1    | $30   | This single-use ball of snow boosts the Attack stat if the holder is damaged by an Ice-type move.
HM01 Cut               | TMs        | --    | --    | Teaches a Pokemon this move.
HM02 Rock Smash        | TMs        | --    | --    | Teaches a Pokemon this move.
HM03 Vine Cross        | TMs        | --    | --    | Teaches a Pokemon this move.
HM04 Surf              | TMs        | --    | --    | Teaches a Pokemon this move.
HM05 Slow Fall         | TMs        | --    | --    | Teaches a Pokemon this move.
HM06 Whirlpool         | TMs        | --    | --    | Teaches a Pokemon this move.
HM07 Rock Climb        | TMs        | --    | --    | Teaches a Pokemon this move.
HM08 Lava Surf         | TMs        | --    | --    | Teaches a Pokemon this move.
TM01 Super Fang        | TMs        | --    | --    | Teaches a Pokemon this move.
TM02 Radio Burst       | TMs        | --    | --    | Teaches a Pokemon this move.
TM03 Arcane Spell      | TMs        | --    | --    | Teaches a Pokemon this move.
TM04 Calm Mind         | TMs        | --    | --    | Teaches a Pokemon this move.
TM05 Body Slam         | TMs        | --    | --    | Teaches a Pokemon this move.
TM06 Shadow Ball       | TMs        | --    | --    | Teaches a Pokemon this move.
TM07 Focus Blast       | TMs        | --    | --    | Teaches a Pokemon this move.
TM08 Bulk Up           | TMs        | --    | --    | Teaches a Pokemon this move.
TM09 Leaf Blade        | TMs        | --    | --    | Teaches a Pokemon this move.
TM10 Ice Beam          | TMs        | --    | --    | Teaches a Pokemon this move.
TM11 Psyshock          | TMs        | --    | --    | Teaches a Pokemon this move.
TM12 Protect           | TMs        | $750  | --    | Teaches a Pokemon this move.
TM13 Baton Pass        | TMs        | $5000 | --    | Teaches a Pokemon this move.
TM14 Taunt             | TMs        | --    | --    | Teaches a Pokemon this move.
TM15 Giga Impact       | TMs        | $1000 | --    | Teaches a Pokemon this move.
TM16 Hyper Beam        | TMs        | $1000 | --    | Teaches a Pokemon this move.
TM17 Solar Beam        | TMs        | --    | --    | Teaches a Pokemon this move.
TM18 Iron Head         | TMs        | --    | --    | Teaches a Pokemon this move.
TM19 Photon Geyser     | TMs        | --    | --    | Teaches a Pokemon this move.
TM20 Earthquake        | TMs        | --    | --    | Teaches a Pokemon this move.
TM21 Throat Chop       | TMs        | --    | --    | Teaches a Pokemon this move.
TM22 Fell Stinger      | TMs        | --    | --    | Teaches a Pokemon this move.
TM23 Weather Ball      | TMs        | $800  | --    | Teaches a Pokemon this move.
TM24 Terrain Pulse     | TMs        | $900  | --    | Teaches a Pokemon this move.
TM25 Thunderbolt       | TMs        | --    | --    | Teaches a Pokemon this move.
TM26 Hidden Power      | TMs        | --    | --    | Teaches a Pokemon this move.
TM27 Drain Punch       | TMs        | --    | --    | Teaches a Pokemon this move.
TM28 Flame Charge      | TMs        | --    | --    | Teaches a Pokemon this move.
TM29 Liquidation       | TMs        | --    | --    | Teaches a Pokemon this move.
TM30 U-Turn            | TMs        | --    | --    | Teaches a Pokemon this move.
TM31 False Swipe       | TMs        | --    | --    | Teaches a Pokemon this move.
TM32 Zing Zap          | TMs        | --    | --    | Teaches a Pokemon this move.
TM33 Psychic Fangs     | TMs        | --    | --    | Teaches a Pokemon this move.
TM34 Magic Tomb        | TMs        | --    | --    | Teaches a Pokemon this move.
TM35 Flamethrower      | TMs        | --    | --    | Teaches a Pokemon this move.
TM36 Sludge Bomb       | TMs        | --    | --    | Teaches a Pokemon this move.
TM37 Rock Tomb         | TMs        | --    | --    | Teaches a Pokemon this move.
TM38 Blizzard          | TMs        | $4000 | --    | Teaches a Pokemon this move.
TM39 Psychic           | TMs        | --    | --    | Teaches a Pokemon this move.
TM40 Facade            | TMs        | --    | --    | Teaches a Pokemon this move.
TM41 Reflect           | TMs        | $1000 | --    | Teaches a Pokemon this move.
TM42 Light Screen      | TMs        | $1000 | --    | Teaches a Pokemon this move.
TM43 Spotlight Ray     | TMs        | --    | --    | Teaches a Pokemon this move.
TM44 Light Speed       | TMs        | $1000 | --    | Teaches a Pokemon this move.
TM45 Will-O-Wisp       | TMs        | $1000 | --    | Teaches a Pokemon this move.
TM46 Fire Blast        | TMs        | $4000 | --    | Teaches a Pokemon this move.
TM47 Star Storm        | TMs        | --    | --    | Teaches a Pokemon this move.
TM48 Scald             | TMs        | --    | --    | Teaches a Pokemon this move.
TM49 Rest              | TMs        | $1500 | --    | Teaches a Pokemon this move.
TM50 Toxic             | TMs        | $1250 | --    | Teaches a Pokemon this move.
TM51 Sleep Talk        | TMs        | $400  | --    | Teaches a Pokemon this move.
TM52 Aerial Ace        | TMs        | --    | --    | Teaches a Pokemon this move.
TM53 Volt Switch       | TMs        | --    | --    | Teaches a Pokemon this move.
TM54 Thunder Wave      | TMs        | $750  | --    | Teaches a Pokemon this move.
TM55 Disenchant        | TMs        | --    | --    | Teaches a Pokemon this move.
TM56 Trick Tackle      | TMs        | --    | --    | Teaches a Pokemon this move.
TM57 Defog             | TMs        | --    | --    | Teaches a Pokemon this move.
TM58 Dragon Pulse      | TMs        | --    | --    | Teaches a Pokemon this move.
TM59 Body Press        | TMs        | --    | --    | Teaches a Pokemon this move.
TM60 Freeze-Dry        | TMs        | --    | --    | Teaches a Pokemon this move.
TM61 Scorching Sands   | TMs        | --    | --    | Teaches a Pokemon this move.
TM62 Bug Buzz          | TMs        | --    | --    | Teaches a Pokemon this move.
TM63 Thunder           | TMs        | $4000 | --    | Teaches a Pokemon this move.
TM64 Close Combat      | TMs        | $1500 | --    | Teaches a Pokemon this move.
TM65 Shadow Claw       | TMs        | --    | --    | Teaches a Pokemon this move.
TM66 Draco Meteor      | TMs        | $2000 | --    | Teaches a Pokemon this move.
TM67 Breaking Swipe    | TMs        | $2000 | --    | Teaches a Pokemon this move.
TM68 Light Drain       | TMs        | --    | --    | Teaches a Pokemon this move.
TM69 Rock Polish       | TMs        | --    | --    | Teaches a Pokemon this move.
TM70 Hydro Pump        | TMs        | $1500 | --    | Teaches a Pokemon this move.
TM71 Stone Edge        | TMs        | --    | --    | Teaches a Pokemon this move.
TM72 Ice Spinner       | TMs        | --    | --    | Teaches a Pokemon this move.
TM73 Gyro Ball         | TMs        | --    | --    | Teaches a Pokemon this move.
TM74 Sunny Day         | TMs        | $900  | --    | Teaches a Pokemon this move.
TM75 Rain Dance        | TMs        | $900  | --    | Teaches a Pokemon this move.
TM76 Snowscape         | TMs        | $700  | --    | Teaches a Pokemon this move.
TM77 Sandstorm         | TMs        | $700  | --    | Teaches a Pokemon this move.
TM78 Swords Dance      | TMs        | $800  | --    | Teaches a Pokemon this move.
TM79 Grassy Terrain    | TMs        | $300  | --    | Teaches a Pokemon this move.
TM80 Electric Terrain  | TMs        | $300  | --    | Teaches a Pokemon this move.
TM81 Psychic Terrain   | TMs        | $300  | --    | Teaches a Pokemon this move.
TM82 Sparkling Terrain | TMs        | $300  | --    | Teaches a Pokemon this move.
TM83 Captivate         | TMs        | --    | --    | Teaches a Pokemon this move.
TM84 Dark Pulse        | TMs        | --    | --    | Teaches a Pokemon this move.
TM85 Power Gem         | TMs        | --    | --    | Teaches a Pokemon this move.
TM86 X-Scissor         | TMs        | --    | --    | Teaches a Pokemon this move.
TM87 Poison Jab        | TMs        | --    | --    | Teaches a Pokemon this move.
TM88 Galaxy Blast      | TMs        | --    | --    | Teaches a Pokemon this move.
TM89 Acrobatics        | TMs        | --    | --    | Teaches a Pokemon this move.
TM90 Iron Blast        | TMs        | --    | --    | Teaches a Pokemon this move.
TM91 Tri-Attack        | TMs        | $1000 | --    | Teaches a Pokemon this move.
TM92 Meteor Assault    | TMs        | --    | --    | Teaches a Pokemon this move.
TM93 Earth Power       | TMs        | --    | --    | Teaches a Pokemon this move.
TM94 Hurricane         | TMs        | --    | --    | Teaches a Pokemon this move.
TM95 Trick Room        | TMs        | $500  | --    | Teaches a Pokemon this move.
TM96 Energy Ball       | TMs        | --    | --    | Teaches a Pokemon this move.
TM97 Radiant Break     | TMs        | $1000 | --    | Teaches a Pokemon this move.
TM98 Flip Turn         | TMs        | --    | --    | Teaches a Pokemon this move.
TM99 Return            | TMs        | --    | --    | Teaches a Pokemon this move.
Edge Kit               | Key Items  | --    | --    | Edges ;) your Pokemon until they're about to bust :{D
Calculator             | Key Items  | --    | --    | Calculates damage simulating a battle
Dex Nav                | Key Items  | --    | --    | Shows wild Pokemon nearby
Cheri Berry            | Berries    | $10   | $2    | If a Pokemon holds one of these Berries, it will be able to free itself from paralysis.
Chesto Berry           | Berries    | $10   | $2    | If a Pokemon holds one of these Berries, it will be able to wake itself from sleep.
Pecha Berry            | Berries    | $10   | $2    | If a Pokemon holds one of these Berries, it will be able to lift the effects of being poisoned from itself.
Rawst Berry            | Berries    | $10   | $2    | If a Pokemon holds one of these Berries, it will be able to cure itself of a burn.
Aspear Berry           | Berries    | $10   | $2    | If a Pokemon holds one of these Berries, it will be able to thaw itself from a frostbite.
Lum Berry              | Berries    | $100  | $10   | If a Pokemon holds one of these Berries, it will be able to cure itself of any status condition it may have.
Persim Berry           | Berries    | $10   | $2    | If a Pokemon holds one of these Berries, it will be able to cure itself of confusion.
Leppa Berry            | Berries    | $75   | $10   | If a Pokemon holds one of these Berries, it will be able to restore 10 PP to a move.
Oran Berry             | Berries    | $25   | $5    | If a Pokemon holds one of these Berries, it will be able to restore 10 HP to itself.
Sitrus Berry           | Berries    | $50   | $15   | If a Pokemon holds one of these Berries, it will be able to restore 25% of HP to itself.
Wiki Berry             | Berries    | $75   | $20   | If a Pokemon holds one of these Berries, it will be able to restore 33% HP should it find itself in a pinch.
Spelon Berry           | Berries    | $40   | $10   | If a Pokemon holds one of these Berries and its' Attack is lowered, that stat will be restored.
Belue Berry            | Berries    | $50   | $10   | If a Pokemon holds one of these Berries and its' Defense is lowered, that stat will be restored.
